Node,Label
0,0
1,1
2,1
3,0
4,1
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,0
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,0
363,1
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,1
396,0
397,0
398,0
399,0
